Ravina Park,Block Park,1522 Lebanon St.,South Bend,Indiana,46613,41.65941212900003,-86.23819020199994,,,0.5,,,
River Manor Park,Neighborhood Park,3811 Glenview Dr.,South Bend,Indiana,46628,41.72756648700005,-86.27364228199997,,,0.5,,,2
Riverside Park,Neighborhood Park,3840 Riverside Drive,South Bend,Indiana,46628,41.72734727200003,-86.26930036299996,,,,,,
Rum Village Annex,Community Park,2700 Gertrude St,South Bend,Indiana,46614,41.64682858700007,-86.27311700399997,,,,,,
Rum Village Park,Community Park,2700 Gertrude St,South Bend,Indiana,46614,41.64682858700007,-86.27311700399997,,,,,,
Ryer Mini Park,Block Park,1565 Ryer St.,South Bend,Indiana,46628,41.70801127800047,-86.30769577799964,,,,,,
Seitz Park,Block Park,340 E. Colfax,South Bend,Indiana,46601,41.677774234000026,-86.24976801199995,,,,,,
Shetterley Park,Block Park,1044 Riverside Drive,South Bend,Indiana,46616,41.68909715900048,-86.25964790099965,,,,,,
Sorin Mini Park,Block Park,3366 Sorin Street,South Bend,Indiana,46615,41.68463344500003,-86.20077129399994,,,,,,
Southeast Neighborhood Park,Neighborhood Park,503 Wenger Street,South Bend,Indiana,46601,41.662587544000075,-86.24358121899996,,,1,,1,
Studebaker Golf Course,Golf Course,718 Calvert Street,South Bend,Indiana,46613,41.65411663000049,-86.25964338499966,,,,0.5,,
Vassar Park,Neighborhood Park,1100 Sherman Avenue,South Bend,Indiana,46616,41.6894837530005,-86.26493242799967,,,,,,
Veteran's Memorial Park,Neighborhood Park,1501 Northside Blvd,South Bend,Indiana,46615,41.66026248600008,-86.22534233699997,,1,,,,
Viewing Park,Neighborhood Park,900 Northside Blvd,South Bend,Indiana,46617,41.66749187200048,-86.23634464699967,,,,,,
Voorde Park,Neighborhood Park,3433 Keller St.,South Bend,Indiana,46628,41.69730839600004,-86.29765393399998,,,1,,1,2
Walker Field Park,Neighborhood Park,2212 S. Walnut Street,South Bend,Indiana,46613,41.65108868200008,-86.27071853799998,,1,1,,1,4
Westhaven Park,Block Park,1220 Sussex Drive,South Bend,Indiana,46628,41.6904709370005,-86.30599056399967,,,,,,2
Woodlawn Park,Neighborhood Park,2166 Riverside Drive,South Bend,Indiana,46616,41.70574295900008,-86.26795445899995,,,,,,
